cld,cld_360smth,cld_anm360,cld_21smth,cld_anm21,CRF,CRF_21smth,CRF_21anm
61.24050,-999.00000,-999.00000,60.81719,0.42331,-999.00000,-2.87461,-999.00000
60.83000,-999.00000,-999.00000,60.69251,0.13749,-3.20895,-2.82925,-0.37970
59.95630,-999.00000,-999.00000,60.59336,-0.63706,-3.37371,-2.76279,-0.61093
60.76110,-999.00000,-999.00000,60.54318,0.21792,-3.31831,-2.73896,-0.57935
62.47630,-999.00000,-999.00000,60.55144,1.92486,-2.74685,-2.74693,0.00008
63.38320,-999.00000,-999.00000,60.52454,2.85866,-1.92725,-2.74156,0.81431
61.59320,-999.00000,-999.00000,60.57438,1.01882,-1.58185,-2.86950,1.28765
60.82750,-999.00000,-999.00000,60.56493,0.26257,-1.99801,-2.97356,0.97555
60.18430,-999.00000,-999.00000,60.58948,-0.40518,-2.31284,-3.03127,0.71843
60.16510,-999.00000,-999.00000,60.65279,-0.48769,-2.59379,-3.04773,0.45394
59.20340,-999.00000,-999.00000,60.67961,-1.47621,-2.48201,-3.05426,0.57225
59.32480,-999.00000,-999.00000,60.72772,-1.40292,-2.64788,-3.03609,0.38821
59.87130,-999.00000,-999.00000,60.81947,-0.94817,-2.49844,-3.01053,0.51209
60.40580,-999.00000,-999.00000,60.81518,-0.40938,-3.14375,-2.97362,-0.17013
60.64890,-999.00000,-999.00000,60.75063,-0.10173,-3.77613,-2.94718,-0.82895
60.28220,-999.00000,-999.00000,60.64858,-0.36638,-3.51361,-2.93997,-0.57364
59.35720,-999.00000,-999.00000,60.56270,-1.20550,-4.78855,-2.95019,-1.83835
60.31190,-999.00000,-999.00000,60.47594,-0.16404,-4.63859,-2.94513,-1.69346
59.90790,-999.00000,-999.00000,60.46966,-0.56176,-4.01238,-2.91050,-1.10188
60.96640,-999.00000,-999.00000,60.45536,0.51104,-3.34397,-2.86524,-0.47873
62.01120,-999.00000,-999.00000,60.47031,1.54089,-3.17837,-2.82822,-0.35015
61.80390,-999.00000,-999.00000,60.46116,1.34274,-2.67270,-2.77599,0.10329
61.84030,-999.00000,-999.00000,60.43214,1.40816,-2.67209,-2.71159,0.03949
61.88290,-999.00000,-999.00000,60.42962,1.45328,-2.59865,-2.66992,0.07127
60.67110,-999.00000,-999.00000,60.47812,0.19298,-2.76306,-2.60288,-0.16017
61.12070,-999.00000,-999.00000,60.48934,0.63136,-2.59549,-2.51096,-0.08452
61.24020,-999.00000,-999.00000,60.58608,0.65412,-2.14184,-2.45066,0.30882
59.78960,-999.00000,-999.00000,60.62561,-0.83601,-1.47551,-2.33464,0.85913
59.00560,-999.00000,-999.00000,60.67608,-1.67048,-1.27088,-2.21305,0.94217
60.05250,-999.00000,-999.00000,60.68535,-0.63285,-1.36226,-2.08516,0.72290
59.86480,-999.00000,-999.00000,60.58643,-0.72163,-1.81639,-2.02684,0.21045
59.51740,-999.00000,-999.00000,60.47366,-0.95626,-1.38527,-2.00890,0.62363
59.13260,59.97348,-0.84088,60.36295,-1.23035,-1.29540,-2.02483,0.72943
59.26190,59.97553,-0.71363,60.20910,-0.94720,-1.62353,-2.03165,0.40812
60.35280,59.97857,0.37423,60.13812,0.21468,-1.73588,-2.04447,0.30859
61.66750,59.97709,1.69041,60.06180,1.60570,-1.84583,-2.07839,0.23256
60.51780,59.98011,0.53769,59.93396,0.58384,-2.24719,-2.13730,-0.10989
61.38860,59.99313,1.39547,59.89360,1.49500,-2.35224,-2.22365,-0.12859
61.14220,59.99911,1.14309,59.90378,1.23842,-2.08512,-2.33643,0.25131
60.96760,60.00387,0.96373,59.88450,1.08310,-1.32660,-2.43689,1.11029
61.16110,60.00512,1.15598,59.89417,1.26693,-2.11935,-2.54599,0.42664
59.93400,60.00569,-0.07169,59.99962,-0.06562,-2.80161,-2.63625,-0.16536
59.43560,60.01257,-0.57697,60.13360,-0.69800,-3.00717,-2.74178,-0.26538
59.51540,60.01333,-0.49793,60.24925,-0.73385,-2.81545,-2.83058,0.01513
58.65220,60.01742,-1.36522,60.31414,-1.66194,-2.86776,-2.90960,0.04184
59.18040,60.02659,-0.84619,60.30603,-1.12563,-3.47550,-2.96552,-0.50998
59.51790,60.03287,-0.51497,60.30920,-0.79130,-3.83256,-2.99782,-0.83474
58.55560,60.04037,-1.48477,60.25800,-1.70240,-3.95516,-3.00118,-0.95397
58.94220,60.04070,-1.09850,60.22965,-1.28745,-3.84396,-2.99013,-0.85382
59.21920,60.04161,-0.82241,60.25777,-1.03857,-3.38054,-3.00135,-0.37919
59.64770,60.04565,-0.39795,60.26140,-0.61370,-3.65323,-3.03185,-0.62138
60.06790,60.05182,0.01608,60.34073,-0.27283,-3.71184,-3.00698,-0.70486
61.73190,60.05709,1.67481,60.37306,1.35884,-3.60159,-2.95483,-0.64676
61.94620,60.05735,1.88885,60.32483,1.62137,-3.16008,-2.88511,-0.27498
61.69050,60.05939,1.63111,60.36909,1.32141,-3.28287,-2.80797,-0.47490
61.71540,60.05961,1.65579,60.45634,1.25906,-2.91026,-2.77735,-0.13292
61.49730,60.06000,1.43730,60.49751,0.99979,-2.52413,-2.73453,0.21040
60.58440,60.06142,0.52298,60.58716,-0.00276,-2.31784,-2.64615,0.32831
60.31320,60.06472,0.24848,60.61173,-0.29853,-2.12018,-2.55856,0.43838
60.54690,60.06430,0.48260,60.60051,-0.05361,-2.32060,-2.49920,0.17860
61.55810,60.07627,1.48183,60.55431,1.00379,-1.96725,-2.51073,0.54347
61.23740,60.09559,1.14181,60.51556,0.72184,-1.59706,-2.55017,0.95311
61.59990,60.10326,1.49664,60.37215,1.22775,-1.70651,-2.55737,0.85086
60.11460,60.10805,0.00655,60.26371,-0.14911,-1.54286,-2.51738,0.97452
58.50260,60.10867,-1.60607,60.18916,-1.68656,-1.19564,-2.47969,1.28405
59.58150,60.10578,-0.52428,60.16555,-0.58405,-2.22464,-2.41126,0.18663
61.01280,60.10621,0.90659,60.13352,0.87928,-2.57634,-2.34904,-0.22730
60.38240,60.11029,0.27211,60.05848,0.32392,-1.97655,-2.31107,0.33452
60.43820,60.11730,0.32090,60.06689,0.37131,-2.11580,-2.28553,0.16973
59.45830,60.13000,-0.67170,59.88443,-0.42613,-2.59745,-2.27120,-0.32625
58.98360,60.12621,-1.14261,59.67757,-0.69397,-3.62252,-2.24369,-1.37883
58.67750,60.12851,-1.45101,59.70138,-1.02388,-4.48149,-2.23382,-2.24768
59.25410,60.13813,-0.88403,59.67453,-0.42043,-3.86315,-2.23721,-1.62594
58.72030,60.14321,-1.42291,59.65928,-0.93898,-2.76173,-2.22812,-0.53361
59.66890,60.14440,-0.47550,59.70935,-0.04045,-2.36860,-2.23858,-0.13002
60.12490,60.14582,-0.02092,59.74733,0.37757,-1.84593,-2.22554,0.37961
61.21960,60.14738,1.07222,59.69069,1.52891,-1.60360,-2.14777,0.54417
60.82470,60.14189,0.68281,59.67210,1.15260,-1.72680,-2.06942,0.34262
59.00850,60.13364,-1.12514,59.66187,-0.65337,-1.78149,-2.02206,0.24056
60.48990,60.12267,0.36723,59.65961,0.83029,-1.81919,-1.96368,0.14450
56.71520,60.11685,-3.40165,59.68230,-2.96710,-1.74286,-1.91827,0.17541
57.21410,60.11631,-2.90221,59.64748,-2.43338,-1.75998,-1.83427,0.07429
61.73740,60.11976,1.61764,59.62613,2.11127,-1.66823,-1.66159,-0.00664
61.03610,60.11280,0.92330,59.65627,1.37983,-1.51568,-1.51074,-0.00494
59.79420,60.10339,-0.30919,59.60640,0.18780,-1.76243,-1.41503,-0.34739
59.55410,60.09473,-0.54063,59.56220,-0.00810,-0.92192,-1.37901,0.45709
60.37920,60.08778,0.29142,59.50770,0.87150,-0.59142,-1.37496,0.78354
59.82320,60.08757,-0.26437,59.54774,0.27546,-0.93102,-1.36929,0.43828
59.99200,60.08410,-0.09210,59.61180,0.38020,-0.98187,-1.36575,0.38388
60.22340,60.07978,0.14362,59.60679,0.61661,-0.89001,-1.37732,0.48731
59.41100,60.07464,-0.66364,59.80299,-0.39199,-1.64384,-1.44185,-0.20199
59.46000,60.06867,-0.60867,59.99172,-0.53172,-1.85838,-1.49555,-0.36283
57.94630,60.06905,-2.12275,59.97863,-2.03233,-0.85523,-1.55767,0.70245
58.80570,60.06845,-1.26275,59.97180,-1.16610,-0.69534,-1.60893,0.91359
59.35320,60.06211,-0.70891,60.01315,-0.65995,-0.75184,-1.61793,0.86609
58.62170,60.06151,-1.43981,60.02394,-1.40224,-1.61209,-1.58841,-0.02368
59.19660,60.05930,-0.86270,59.87752,-0.68092,-1.76097,-1.59750,-0.16347
60.07520,60.05941,0.01579,59.89887,0.17633,-1.48460,-1.62899,0.14439
61.66560,60.06922,1.59638,59.89689,1.76871,-1.65235,-1.63501,-0.01734
60.35360,60.07510,0.27850,59.87944,0.47416,-2.02455,-1.68265,-0.34190
60.38470,60.08316,0.30154,59.85262,0.53208,-3.17416,-1.77579,-1.39837
60.83540,60.08675,0.74865,59.74659,1.08881,-2.87055,-1.79268,-1.07788
61.17760,60.08821,1.08939,59.79360,1.38400,-3.06461,-1.82034,-1.24427
61.46250,60.08788,1.37462,59.76567,1.69683,-2.74463,-1.85798,-0.88665
60.89250,60.08578,0.80672,59.76112,1.13138,-1.70471,-1.90106,0.19636
60.66270,60.07886,0.58384,59.82282,0.83988,-1.14243,-1.93102,0.78859
59.78070,60.07634,-0.29564,59.78150,-0.00080,-1.11291,-1.93727,0.82436
57.30440,60.07846,-2.77406,59.64419,-2.33979,-1.25270,-1.95221,0.69950
60.27150,60.09066,0.18084,59.47675,0.79475,-1.05753,-2.00244,0.94492
59.95040,60.09476,-0.14436,59.48068,0.46972,-1.98232,-2.04007,0.05775
59.85700,60.10261,-0.24561,59.51842,0.33858,-2.84579,-2.04438,-0.80141
58.84780,60.10829,-1.26049,59.57107,-0.72327,-1.99855,-2.02826,0.02971
57.23320,60.11391,-2.88071,59.62610,-2.39290,-2.43938,-2.02397,-0.41541
58.93370,60.11647,-1.18277,59.62662,-0.69292,-1.64560,-2.01346,0.36786
58.21900,60.11520,-1.89620,59.58400,-1.36500,-1.60008,-2.07748,0.47740
59.25780,60.13461,-0.87681,59.52908,-0.27128,-1.38101,-2.19866,0.81765
59.91740,60.15424,-0.23684,59.77301,0.14439,-1.74319,-2.33317,0.58998
58.32890,60.17109,-1.84219,60.05254,-1.72364,-2.07466,-2.51032,0.43567
57.19150,60.18925,-2.99775,60.15624,-2.96474,-2.53963,-2.69068,0.15106
58.14950,60.21319,-2.06369,60.25312,-2.10362,-2.44254,-2.88101,0.43847
60.43610,60.23505,0.20105,60.35626,0.07984,-2.11499,-2.99130,0.87631
61.17720,60.23530,0.94190,60.51139,0.66581,-2.83557,-3.03905,0.20347
61.94110,60.23378,1.70732,60.67663,1.26447,-2.78063,-3.10283,0.32220
62.33310,60.23458,2.09852,60.79317,1.53993,-2.84384,-3.16165,0.31781
61.47350,60.23744,1.23606,60.93681,0.53669,-4.08897,-3.26703,-0.82194
59.99750,60.24271,-0.24521,61.02987,-1.03237,-4.24955,-3.35904,-0.89051
59.50930,60.23952,-0.73022,61.12275,-1.61345,-3.96711,-3.45397,-0.51313
64.90340,60.22982,4.67358,61.23650,3.66690,-4.83317,-3.51294,-1.32023
63.17450,60.22191,2.95259,61.42360,1.75090,-5.04028,-3.53746,-1.50282
62.44910,60.21390,2.23520,61.54518,0.90392,-5.05436,-3.54545,-1.50890
61.98490,60.20991,1.77499,61.57014,0.41476,-4.29832,-3.57762,-0.72070
62.02300,60.21018,1.81282,61.56911,0.45389,-3.84856,-3.62541,-0.22315
62.10550,60.21265,1.89285,61.49715,0.60835,-3.33805,-3.62394,0.28589
